Workers,Size,Time(s)
1,10000,13.948232
2,10000,12.528854
3,10000,6.922043
4,10000,8.967149
5,10000,7.549987
6,10000,5.623811
7,10000,5.750722
8,10000,5.135297
9,10000,4.194605
10,10000,4.180075
11,10000,3.825783
12,10000,3.371832
13,10000,3.259175
14,10000,3.035077
15,10000,2.759642
16,10000,2.670179
17,10000,2.518107
18,10000,2.326939
19,10000,2.265686
20,10000,2.155170
21,10000,2.010788
22,10000,1.973049
23,10000,1.882482
24,10000,1.770820
25,10000,1.733470
26,10000,1.667654
27,10000,1.579551
28,10000,1.551491
29,10000,1.502748
30,10000,1.424547
31,10000,1.406738
32,10000,1.362952
33,10000,1.301304
34,10000,1.286459
35,10000,1.251176
36,10000,1.200874
37,10000,1.183178
38,10000,1.154320
39,10000,1.109031
40,10000,1.097361
41,10000,1.071425
42,10000,1.032306
43,10000,1.018513
44,10000,0.995406
45,10000,0.964946
46,10000,0.953016
47,10000,0.935146
48,10000,0.907070
49,10000,0.897386
50,10000,0.880432
51,10000,0.856607
52,10000,0.846160
53,10000,0.832241
54,10000,0.810090
55,10000,0.801489
56,10000,0.784330
57,10000,0.767490
58,10000,0.758116
59,10000,0.745118
60,10000,0.733812
61,10000,0.723983
62,10000,0.711042
63,10000,0.699444
64,10000,0.689462
65,10000,0.680794
66,10000,0.665083
67,10000,0.659053
68,10000,0.650790
69,10000,0.638106
70,10000,0.633278
71,10000,0.624380
72,10000,0.612477
73,10000,0.606919
74,10000,0.597792
75,10000,0.586520
76,10000,0.581115
77,10000,0.576151
78,10000,0.565033
79,10000,0.559643
80,10000,0.555439
81,10000,0.543890
82,10000,0.541993
83,10000,0.532366
84,10000,0.524796
85,10000,0.520685
86,10000,0.515518
87,10000,0.508340
88,10000,0.503620
89,10000,0.497855
90,10000,0.491441
91,10000,0.490428
92,10000,0.484263
93,10000,0.475635
94,10000,0.473304
95,10000,0.467887
96,10000,0.461365
97,10000,0.461604
98,10000,0.456825
99,10000,0.449054
100,10000,0.448215
101,10000,0.444183
102,10000,0.436040
103,10000,0.435347
104,10000,0.430780
105,10000,0.424780
106,10000,0.423079
107,10000,0.416972
108,10000,0.413358
109,10000,0.415134
110,10000,0.409459
111,10000,0.403273
112,10000,0.401950
113,10000,0.396047
114,10000,0.396912
115,10000,0.393280
116,10000,0.388344
117,10000,0.383966
118,10000,0.385588
119,10000,0.380571
120,10000,0.375345
121,10000,0.372262
122,10000,0.372230
123,10000,0.365815
124,10000,0.364070
125,10000,0.363526
126,10000,0.358727
127,10000,0.359607
128,10000,0.355208
